t_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
183451,-9432,-4160,13000,-495,-70,-366,-9520,-2832,11824,-525,-209,-212
183471,-9428,-4260,13024,-428,-43,-338,-9516,-2776,11928,-555,-191,-224
183491,-9380,-4176,12912,-480,-19,-348,-9456,-2784,11916,-525,-205,-219
183511,-9504,-4364,12904,-491,-32,-351,-9528,-2864,11908,-535,-193,-231
183531,-9440,-4204,12896,-456,-66,-350,-9496,-2684,11920,-538,-197,-205
183551,-9436,-4280,12972,-444,-58,-342,-9500,-2840,12020,-554,-190,-228
183571,-9420,-4272,13000,-451,-36,-348,-9500,-2788,12052,-539,-194,-221
183591,-9408,-4356,12944,-477,-25,-362,-9596,-2724,11868,-526,-212,-213
183611,-9412,-4228,12908,-461,-57,-350,-9504,-2708,11872,-530,-218,-204
183631,-9552,-4272,13016,-496,-63,-346,-9516,-2840,11908,-541,-198,-233
183651,-9380,-4140,13064,-402,-54,-360,-9440,-2788,11896,-542,-216,-233
183671,-9312,-4120,12792,-468,-46,-342,-9488,-2708,11912,-541,-192,-226
183691,-9492,-4204,12852,-518,-39,-364,-9532,-2724,11988,-546,-209,-204
183711,-9468,-4232,12872,-433,-64,-323,-9496,-2860,11964,-542,-199,-218
183731,-9364,-4168,12932,-412,-45,-351,-9524,-2824,11856,-539,-202,-216
183751,-9404,-4128,13008,-494,-28,-351,-9480,-2756,11956,-547,-202,-232
183771,-9436,-4168,12788,-453,-41,-334,-9540,-2804,11888,-532,-190,-217
183791,-9400,-4216,13056,-480,-64,-355,-9504,-2808,11936,-539,-207,-225
183811,-9468,-4140,12828,-462,-43,-371,-9496,-2732,12044,-533,-194,-222
183831,-9456,-4160,12988,-443,-36,-327,-9492,-2780,11852,-537,-200,-227
183851,-9456,-4236,12868,-471,-42,-339,-9412,-2892,11992,-556,-212,-235
183871,-9592,-4252,12896,-504,-23,-357,-9556,-2732,11984,-559,-190,-237
183891,-9432,-4124,12912,-474,-34,-336,-9528,-2812,11920,-533,-198,-222
183911,-9332,-4152,12972,-387,-59,-326,-9584,-2736,12028,-543,-213,-216
183931,-9484,-4148,12844,-495,-56,-359,-9424,-2808,12052,-535,-207,-243
183951,-9468,-4200,12996,-491,-44,-370,-9488,-2812,12008,-562,-193,-222
183971,-9496,-4104,12952,-455,-40,-339,-9484,-2688,12012,-546,-210,-224
183991,-9312,-4172,13000,-450,-75,-379,-9512,-2784,11912,-549,-212,-224
184011,-9328,-4232,12992,-482,-60,-328,-9568,-2724,12116,-539,-186,-221
184031,-9496,-4252,13060,-447,-36,-354,-9536,-2764,11920,-528,-207,-224
184051,-9412,-4192,13076,-430,-73,-366,-9404,-2768,12000,-552,-189,-202
184071,-9452,-4188,12880,-490,-55,-357,-9388,-2812,11944,-548,-227,-193
184091,-9436,-4192,12860,-468,-41,-338,-9544,-2808,11968,-529,-208,-219
184111,-9372,-4204,12952,-433,-58,-327,-9504,-2780,12004,-532,-224,-213
184131,-9424,-4224,12772,-443,-21,-355,-9452,-2824,11928,-555,-235,-223
184151,-9400,-4168,12844,-478,-62,-349,-9512,-2908,12000,-516,-213,-228
184171,-9520,-4304,12908,-462,-52,-352,-9400,-2836,12000,-538,-215,-213
184191,-9408,-4212,12956,-488,-47,-331,-9456,-2760,11904,-545,-193,-244
184211,-9444,-4268,12976,-435,-35,-361,-9500,-2748,12048,-536,-197,-211
184231,-9456,-4264,12984,-451,-35,-326,-9584,-2780,11868,-540,-210,-224
184251,-9448,-4176,12896,-452,-44,-354,-9504,-2752,11804,-530,-194,-212
184271,-9428,-4228,13036,-531,-21,-362,-9468,-2776,12120,-548,-203,-229
184291,-9492,-4368,12860,-455,-43,-360,-9448,-2812,12008,-543,-182,-227
184311,-9388,-4296,12920,-387,-72,-339,-9516,-2828,11956,-551,-201,-205
184331,-9408,-4284,12976,-449,-42,-376,-9544,-2636,11936,-543,-202,-204
184351,-9420,-4156,12832,-595,-11,-326,-9420,-2768,11784,-550,-207,-231
184371,-9404,-4316,12940,-494,4,-366,-9404,-2780,11936,-532,-225,-225
184391,-9420,-4208,13024,-258,-66,-329,-9548,-2768,11888,-536,-185,-226
184411,-9388,-4072,12924,-517,-38,-352,-9448,-2820,11920,-547,-195,-216
184431,-9520,-4148,13032,-509,-52,-408,-9572,-2820,11992,-528,-197,-206
